id,title,assignee,inventor,priority,filing,publicationdate,grantdate,resultlink,url,
US-11173155-B2,Tamper resistant immediate release formulations ,"Rhodes Pharmaeuticals, L.P.","Akwete L. Adjei, Sibao Chen, Robert J. Kupper, Vincent Mancinelli",2012-03-02,2013-03-01,2021-11-16,2021-11-16,https://patents.google.com/patent/US11173155B2/en,https://patentimages.storage.googleapis.com/00/c1/bb/f6c194192bfe36/US11173155-20211116-D00001.png,
US-9198925-B2,Pharmaceutical formulations containing an SGLT2 inhibitor ,Astrazeneca Ab,"Dilbir S. Bindra, Mandar V. Dali, Prakash V. Parab, Jatin M. Patel, Li Tao, Ravindra W. Tejwani, Nipa Vatsaraj, Yongmei Wu",2007-03-22,2014-05-02,2015-12-01,2015-12-01,https://patents.google.com/patent/US9198925B2/en,,
EP-3306503-B1,Screening method for multi-target drug and/or pharmaceutical composition ,"Wuhan Bio-Links Technology Co., Ltd., Huazhong Agricultural University","Hongyu Zhang, Qingyong YANG, Yuan QUAN, Zhihui Luo, Lida ZHU",2015-05-29,2015-07-24,2020-08-19,2020-08-19,https://patents.google.com/patent/EP3306503B1/en,https://patentimages.storage.googleapis.com/31/2f/ad/c47d31ac76c5f1/imgf0001.png,
CN-105848646-B,"The purposes of compressed tablets comprising cannabidiol, its manufacturing method and such tablet in oral medication mental illness or anxiety disorder ",艾克制药有限公司,"让·艾伯特·德弗里斯, 玛丽亚·瓦内萨·费尔南德兹希德, 安娜·玛丽亚·埃雷迪亚洛佩斯, 克里斯蒂娜·玛丽亚·埃罗瓦马丁内斯",2013-10-29,2014-10-29,2019-10-22,2019-10-22,https://patents.google.com/patent/CN105848646B/en,,
EP-1039909-B1,Method of production and composition of an oral preparation of itraconazole ,Choongwae Pharma Corporation,"Jae Young Choongwae Research Laboratory JUNG, Kye Hyun Choongwae Research Laboratory KIM, Sang Heon Choongwae Research Laboratory LEE, Ji Woong Choongwae Research Laboratory HONG, Jong Woo Choongwae Research Laboratory PARK, Kyu Hyun Choongwae Research Laboratory LEE",1997-12-31,1998-12-17,2002-10-09,2002-10-09,https://patents.google.com/patent/EP1039909B1/en,,
US-11389428-B2,Controlled-release melatonin compositions and related methods ,Société des Produits Nestlé S.A.,"Syed M. Shah, Daniel Hassan",2011-01-28,2020-08-25,2022-07-19,2022-07-19,https://patents.google.com/patent/US11389428B2/en,https://patentimages.storage.googleapis.com/66/bc/2d/68ab8282355f37/US11389428-20220719-D00001.png,
EP-2765990-B1,Solid dispersion ,"Array Biopharma, Inc.","David Shank FRY, Christopher M. Lindemann, Michael PREIGH, Corey Jay BLOOM, Christopher Donovan Craig, Devon Brevard DUBOSE, Jeff GAUTSCHI, Dan SMITHEY",2011-10-14,2012-10-12,2017-09-06,2017-09-06,https://patents.google.com/patent/EP2765990B1/en,https://patentimages.storage.googleapis.com/1b/bf/e6/545372e7cad368/imgf0001.png,
RU-2428176-C2,"Systems of medication delivery, containing weak-base medications and organic acids ","Юранд, Инк.","Гопи М. ВЕНКАТЕШ (US), Гопи М. Венкатеш",2006-01-27,2007-01-29,2011-09-10,2011-09-10,https://patents.google.com/patent/RU2428176C2/en,https://patentimages.storage.googleapis.com/3b/44/52/1a018a88424e09/00000001.png,
US-2022193045-A1,"Pharmaceutical composition, pharmaceutical dosage form, process for their preparation, methods for treating and uses thereof ",Boehringer Ingelheim International Gmbh,"Wolfram Eisenreich, Nadia S. LADYZHYNSKY, Danping Li, Leon SCHULTZ, Zeren Wang, Sreeraj MACHA, Albert BARTA",2009-02-13,2022-03-04,2022-06-23,,https://patents.google.com/patent/US20220193045A1/en,https://patentimages.storage.googleapis.com/a7/7d/4f/68318bcdbff35c/US20220193045A1-20220623-D00001.png,
CN-107028894-B,Drug-loaded microsphere and preparation method and application thereof ,三捷生物科技（北京）有限公司,"张悦, 梁捷, 杜建英",2016-02-03,2016-02-03,2020-11-06,2020-11-06,https://patents.google.com/patent/CN107028894B/en,https://patentimages.storage.googleapis.com/3a/13/a1/508a762f9cebf4/HDA0000921628280000011.png,
US-11253523-B2,Tofacitinib oral sustained release dosage forms ,Pfizer Inc.,"Scott Max Herbig, Sriram Krishnaswami, Joseph Kushner, IV, Manisha Lamba, Thomas C. Stock",2013-03-16,2020-03-13,2022-02-22,2022-02-22,https://patents.google.com/patent/US11253523B2/en,,
ES-2340518-T3,MICRONIZED TANAPROGET AND COMPOSITIONS THAT CONTAIN IT. ,Wyeth Llc,"Arwinder Nagi, Ramarao Chatlapalli, Shamim Hasan, Rolland W. Carson, Mohamed Ghorab",2005-04-28,2006-04-26,2010-06-04,2010-06-04,https://patents.google.com/patent/ES2340518T3/en,,
AU-2016216569-B2,Pharmaceutical composition and administrations thereof ,Vertex Pharmaceuticals Incorporated,"Martyn Botfield, Kirk Dinehart, Peter D. J. Grootenhuis, Alfredo Grossi, Patricia Hurter, Kirk Overhoff, William Rowe, Marinus Jacobus Verwijs, Christopher Young",2008-08-13,2016-08-16,2018-01-25,2018-01-25,https://patents.google.com/patent/AU2016216569B2/en,,
US-2018008546-A1,"Formulations of 3-(6-(1-(2,2-difluorobenzo[d][1,3]dioxol-5-yl) cyclopropanecarboxamido)-3-methylpyridin-2-yl)benzoic acid ",Vertex Pharmaceuticals Incorporated,Marinus Jacobus Verwijs,2012-01-25,2017-07-20,2018-01-11,,https://patents.google.com/patent/US20180008546A1/en,https://patentimages.storage.googleapis.com/d2/54/d5/915a47ff710dd8/US20180008546A1-20180111-D00001.png,
US-2019060289-A1,"Methods of treating autophagy-associated disorders and related pharmaceutical compositions, diagnostics, screening techniques and kits ",Stc.Unm,"Vojo Deretic, Eliseo Castillo, Steven Bradfute, Larry A Sklar",2011-05-10,2018-08-13,2019-02-28,,https://patents.google.com/patent/US20190060289A1/en,https://patentimages.storage.googleapis.com/04/7a/38/0510931866856a/US20190060289A1-20190228-D00001.png,
AU-2018226453-B2,Pharmaceutical Compositions and Administrations Thereof ,Vertex Pharmaceuticals Incorporated,"Rossitza Gueorguieva Alargova, Tim Edward Alcacio, Sneha G. Arekar, Steven C. Johnston, Irina Nikolaevna Kadiyala, Ali Keshavarz-Shokri, Mariusz Krawiec, Elaine Chungmin Lee, Ales Medek, Praveen Mudunuri, Mark Jeffrey Sullivan, Fredrick F. Van Goor, Noreen Tasneem Zaman, Beili Zhang, Yuegang Zhang, Gregor Zlokarnik",2010-04-22,2018-09-06,2019-07-11,2019-07-11,https://patents.google.com/patent/AU2018226453B2/en,,
US-10736910-B2,"Treatment of autophagy-based disorders and related pharmaceutical compositions, diagnostic and screening assays and kits ",Stc.Unm,"Vojo P. Deretic, Eliseo F. Castillo",2012-10-15,2018-09-13,2020-08-11,2020-08-11,https://patents.google.com/patent/US10736910B2/en,https://patentimages.storage.googleapis.com/68/2e/63/3d44def1436a21/US10736910-20200811-D00001.png,
CN-107219310-B,The screening method of 110 kinds of drugs in a kind of feed ,河南省兽药饲料监察所,"吴志明, 吴宁鹏, 彭丽, 张发旺, 高延玲, 刘占通, 陈小鸽, 李博",2017-05-16,2017-05-16,2019-06-07,2019-06-07,https://patents.google.com/patent/CN107219310B/en,,
US-9428743-B2,"Innovative discovery of therapeutic, diagnostic, and antibody compositions related to protein fragments of tyrosyl-trna synthetases ","Atyr Pharma, Inc., Pangu Biopharma Limited","Leslie Ann Greene, Kyle P. Chiang, Fei Hong, Alain Philippe Vasserot, Wing-Sze Lo, Jeffry D. Watkins, Cheryl L. Quinn, John D. Mendlein",2010-08-25,2015-04-10,2016-08-30,2016-08-30,https://patents.google.com/patent/US9428743B2/en,https://patentimages.storage.googleapis.com/4f/ad/9c/f5a39e5b2fe60f/US09428743-20160830-D00001.png,
US-10563191-B2,"Innovative discovery of therapeutic, diagnostic, and antibody compositions related protein fragments of tryptophanyl tRNA synthetases ","Atyr Pharma, Inc., Pangu Biopharma Limited","Leslie Ann Greene, Kyle P. Chiang, Fei Hong, Alain P. Vasserot, Wing-Sze Lo, Jeffry D. Watkins, Cheryl L. Quinn, John D. Mendlein",2010-10-06,2016-06-10,2020-02-18,2020-02-18,https://patents.google.com/patent/US10563191B2/en,https://patentimages.storage.googleapis.com/30/ab/65/41bc2a543d10ba/US10563191-20200218-D00001.png,
US-9637730-B2,"Innovative discovery of therapeutic, diagnostic, and antibody compositions related to protein fragments of histidyl-tRNA synthetases ","Atyr Pharma, Inc., Pangu Biopharma Limited","Leslie Ann Greene, Kyle P. Chiang, Fei Hong, Alain P. Vasserot, Wing-Sze Lo, Jeffry D. Watkins, Cheryl L. Quinn, John D. Mendlein",2010-07-12,2016-06-10,2017-05-02,2017-05-02,https://patents.google.com/patent/US9637730B2/en,https://patentimages.storage.googleapis.com/96/d6/fc/ecf6628d3ac858/US09637730-20170502-D00001.png,
US-9347053-B2,"Innovative discovery of therapeutic, diagnostic, and antibody compositions related to protein fragments of glutaminyl-tRNA synthetases ","Atyr Pharma, Inc., Pangu Biopharma Limited","Leslie Ann Greene, Kyle P. Chiang, Fei Hong, Alain P. Vasserot, Wing-Sze Lo, Jeffry D. Watkins, Cheryl L. Quinn, John D. Mendlein",2010-05-27,2015-04-17,2016-05-24,2016-05-24,https://patents.google.com/patent/US9347053B2/en,https://patentimages.storage.googleapis.com/e7/3c/ea/fb77c11c69f708/US09347053-20160524-D00001.png,
US-9322009-B2,"Innovative discovery of therapeutic, diagnostic, and antibody compositions related to protein fragments of Lysyl-tRNA synthetases ","Atyr Pharma, Inc., Pangu Biopharma Limited","Leslie Ann Greene, Kyle P. Chiang, Fei Hong, Alain P. Vasserot, Wing-Sze Lo, Jeffry D. Watkins, Cheryl L. Quinn, John D. Mendlein",2010-06-01,2015-01-08,2016-04-26,2016-04-26,https://patents.google.com/patent/US9322009B2/en,https://patentimages.storage.googleapis.com/1f/33/36/32db4c48c725c3/US09322009-20160426-D00001.png,
US-9422538-B2,"Innovative discovery of therapeutic, diagnostic, and antibody compositions related to protein fragments of methionyl-tRNA synthetasis ","Atyr Pharma, Inc., Pangu Biopharma Limited","Leslie Ann Greene, Kyle P. Chiang, Fei Hong, Alain P. Vasserot, Wing-Sze Lo, Jeffry D. Watkins, Cheryl L. Quinn, John D. Mendlein",2010-05-03,2015-02-11,2016-08-23,2016-08-23,https://patents.google.com/patent/US9422538B2/en,https://patentimages.storage.googleapis.com/d4/75/58/75a657a55c8fba/US09422538-20160823-D00001.png,
US-9623093-B2,"Innovative discovery of therapeutic, diagnostic, and antibody compositions related to protein fragments of asparaginyl tRNA synthetases ","Atyr Pharma, Inc., Pangu Biopharma Limited","Leslie Ann Greene, Kyle P. Chiang, Fei Hong, Alain P. Vasserot, Wing-Sze Lo, Jeffry D. Watkins, Cheryl L. Quinn, John D. Mendlein",2010-04-29,2015-02-12,2017-04-18,2017-04-18,https://patents.google.com/patent/US9623093B2/en,https://patentimages.storage.googleapis.com/27/de/3c/8d08b44458f5cb/US09623093-20170418-D00001.png,
US-9528103-B2,"Innovative discovery of therapeutic, diagnostic, and antibody compositions related to protein fragments of isoleucyl tRNA synthetases ","Atyr Pharma, Inc., Pangu Biopharma Limited","Leslie Ann Greene, Kyle P. Chiang, Fei Hong, Alain P. Vasserot, Wing-Sze Lo, Jeffry D. Watkins, Cheryl L. Quinn, John D. Mendlein",2010-04-27,2015-01-09,2016-12-27,2016-12-27,https://patents.google.com/patent/US9528103B2/en,https://patentimages.storage.googleapis.com/5c/12/ff/b42c053c4d3524/US09528103-20161227-D00001.png,
US-9687533-B2,"Innovative discovery of therapeutic, diagnostic, and antibody compositions related to protein fragments of phenylalanyl-beta-tRNA synthetases ","Atyr Pharma, Inc., Pangu Biopharma Limited","Leslie Ann Greene, Kyle P. Chiang, Fei Hong, Alain P. Vasserot, Wing-Sze Lo, Jeffry D. Watkins, Cheryl L. Quinn, Zhiwen XU, John D. Mendlein",2010-05-14,2014-12-19,2017-06-27,2017-06-27,https://patents.google.com/patent/US9687533B2/en,https://patentimages.storage.googleapis.com/db/f2/ba/c6c9113a6d69e0/US09687533-20170627-D00001.png,
US-11035852-B2,Identifying drug candidates for treating polycystic kidney disease using organoids generated from primary cells ,"Umc Utrecht Holding, B.V., Koninklijke Nederlandse Akademie Van Wetenschappen","Jeffrey Matthijn Beekman, Johanna Florentia Dekkers, Cornelis Korstiaan Van Der Ent, Johannes C. Clevers",2011-12-19,2018-06-08,2021-06-15,2021-06-15,https://patents.google.com/patent/US11035852B2/en,https://patentimages.storage.googleapis.com/e5/a2/76/0d27b5f5f4773f/US11035852-20210615-D00001.png,
US-2022383992-A1,Machine learning based methods of analysing drug-like molecules ,Kuano Ltd.,"Hagen TRIENDL, Matthias BAL, Jarvist Moore FROST, Lawrence PHILLIPS, Agisilaos CHANTZIS, Graham Simpson, Vic STOJEVIC, Noor SHAKER, Michael GRAIG, Usman BASHIR, Mariana MANN",2018-07-17,2019-07-17,2022-12-01,,https://patents.google.com/patent/US20220383992A1/en,https://patentimages.storage.googleapis.com/19/52/8a/a9f3dee01b55ed/US20220383992A1-20221201-D00000.png,
KR-101953762-B1,Drug indication and response prediction systems and method using AI deep learning based on convergence of different category data ,(주)신테카바이오,"정종선, 장유섭, 박혜진, 이승주, 신재민",2017-09-25,2017-12-31,2019-03-04,2019-03-04,https://patents.google.com/patent/KR101953762B1/en,https://patentimages.storage.googleapis.com/32/85/69/1b2281c2c52523/112017131423613-pat00001.png,
US-11462304-B2,Artificial intelligence engine architecture for generating candidate drugs ,"Peptilogics, Inc.","Francis Lee, Jonathan D. STECKBECK, Hannes Holste",2020-02-12,2021-06-04,2022-10-04,2022-10-04,https://patents.google.com/patent/US11462304B2/en,https://patentimages.storage.googleapis.com/b5/9d/d9/5ee0f1662f4338/US11462304-20221004-D00001.png,
US-10358653-B2,Genetic inhibition by double-stranded RNA ,"The Carnegie Institution Of Washington, The University Of Massachusetts","Andrew Fire, Stephen Kostas, Mary Montgomery, Lisa Timmons, SiQun Xu, Hiroaki Tabara, Samuel E. Driver, Craig C. Mello",1997-12-23,2016-01-22,2019-07-23,2019-07-23,https://patents.google.com/patent/US10358653B2/en,https://patentimages.storage.googleapis.com/29/34/b8/8d4f978054d4b0/US10358653-20190723-D00001.png,
US-11564916-B2,Pharmaceutical composition and administrations thereof ,Vertex Pharmaceuticals Incorporated,"William Rowe, Patricia Hurter, Christopher Young, Kirk Dinehart, Marinus Jacobus Verwijs, Kirk Overhoff, Peter D. J. Grootenhuis, Martyn Botfield, Alfredo Grossi",2008-08-13,2020-04-07,2023-01-31,2023-01-31,https://patents.google.com/patent/US11564916B2/en,https://patentimages.storage.googleapis.com/a9/f6/39/09dd1310fc7008/US11564916-20230131-D00001.png,
JP-6749431-B2,"Genetic polymorphisms associated with cardiovascular disorders and drug response, their detection methods and uses ","セレラ コーポレーション, セレラ  コーポレーション","カーギル ミシェル, カーギル ミシェル, イアコウボバ オルガ, イアコウボバ オルガ, ジェイ． デブリン ジェイムズ, ジェイ．  デブリン ジェイムズ, 善太 土橋, 善太 土橋, ショー ピーター, ショー ピーター, マリー プラウマン リン, マリー  プラウマン リン, イー． ゼルバ キム, イー．  ゼルバ キム, コウスチュブ ラナデ, コウスチュブ ラナデ, キルシュゲスナー トッド, キルシュゲスナー トッド",2003-11-26,2019-01-15,2020-09-02,2020-09-02,https://patents.google.com/patent/JP6749431B2/en,,
US-10472627-B2,Natural antisense and non-coding RNA transcripts as drug targets ,The Scripps Research Institute,Claes Wahlestedt,2005-12-28,2017-09-26,2019-11-12,2019-11-12,https://patents.google.com/patent/US10472627B2/en,https://patentimages.storage.googleapis.com/f4/e4/8f/6ee2a2d9116dde/US10472627-20191112-D00001.png,
US-10466253-B2,"Molecular flux rates through critical pathways measured by stable isotope labeling in vivo, as biomarkers of drug action and disease activity ",The Regents Of The University Of California,Marc K. Hellerstein,2004-02-20,2017-08-18,2019-11-05,2019-11-05,https://patents.google.com/patent/US10466253B2/en,https://patentimages.storage.googleapis.com/b7/96/73/dce7572a2f58c0/US10466253-20191105-D00001.png,
US-10877035-B2,Advanced drug development and manufacturing ,"Icagen, Llc","Eva R. Birnbaum, Andrew T. Koppisch, Sharon M. Baldwin, Benjamin P. Warner, T. Mark McCleskey, Jennifer A. Berger, Jeffrey J. Stewart, Michael N. Harris, Anthony K. Burrell",2001-05-16,2015-04-22,2020-12-29,2020-12-29,https://patents.google.com/patent/US10877035B2/en,,
